Exercise Name,MainMuscleGroup,DetailedMuscleGroup,OtherMuscleGroups,Type,Mechanics,Equipment,Difficulty,InstructionText,PIC_NO,Link
Dumbbell Lunges,Glutes,,"Glutes , Upper Legs",Stretching,Compound,Body,Beginner,"Steps : 
_x000D_
1.) Start off this stretch by kneeling down on one knee while the opposite foot is planted flat on the floor.
_x000D_
2.) Keep your spine straight and your hips/shoulders aligned.
_x000D_
3.) Take one of your hands and place it upon the knee of the outstretched leg and lunge forward slightly.
_x000D_
4.) Hold for a few seconds, switch legs and repeat.","['2184', '2185']",https://www.jefit.com/exercises/136/Dumbbell-Lunges
Barbell Front Squat - Lower Legs - Intermediate,Lower Legs,Calves,,Strength,Isolation,Barbell,Intermediate,"The rocking standing calf raise exercise uses a simple rocking motion to help strengthen the calves.
_x000D_
Steps : 
_x000D_
1.) Start off standing up straight with a bar across your shoulders.
_x000D_
2.) With your feet flat on the floor, lift your feet up and forward as if you are performing a calf raise and then rock back onto your ankles so your toes are flexed and off the floor.
_x000D_
3.) Return to starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['1188', '1189']",https://www.jefit.com/exercises/137/Barbell-Front-Squat
Barbell Overhead Squat,Upper Legs,Hamstrings,,Stretching,,Body,Intermediate,"Steps : 
_x000D_
1.) To begin this exercise; start off in a kneeling pushing position and lift your right leg off of the floor and hold onto it with your right hand.
_x000D_
2.) With your hand hold onto your ankle and stretch out your upper legs holding on for up to 15 seconds, then alternate.
_x000D_
3.) Repeat this exercise for as many repetitions as needed","['1856', '1857']",https://www.jefit.com/exercises/138/Barbell-Overhead-Squat
Barbell Seated Calf Raise,Shoulders,,,Strength,Isolation,"Barbell , Bench",Intermediate,"Steps :
_x000D_
1.) Start off by sitting straight up on a bench and gripping a barbell overhand, keeping elbows pointed down and chest high.
_x000D_
2.) Slowly push the bar straight up over your head until your arms are fully extended, then return back to the starting position.
_x000D_
3.) Repeat for as many reps and sets as desired.","['3020', '3021']",https://www.jefit.com/exercises/139/Barbell-Seated-Calf-Raise
Calf Press On Leg Press,Chest,,Shoulders,Strength,Isolation,Machine,Beginner,"Steps :
_x000D_
1.) Start off setting up two handles on two high cable pulley machine and stand in between the machines with your hands extended out gripping the handles above your body.
_x000D_
2.) Slowly bring the handles down towards your sides as this will be your starting position.
_x000D_
3.) Then bring the handles in together towards the front of your body, squeezing your chest and hold for a count.
_x000D_
4.) Return the handles back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['4228', '4229']",https://www.jefit.com/exercises/140/Calf-Press-On-Leg-Press
Calf Raise On A Dumbbell,Chest,,,Strength,Isolation,"Exercise Ball , Machine - Strength",Intermediate,"Steps :
_x000D_
1.) Start off setting up a handle on a low pulley cable machine and placing an exercise ball next to the machine.
_x000D_
2.) Grab onto the handle with a neutral, hammer grip, and sit down on the ball.
_x000D_
3.) Slowly walk your feet out in front of you so that your legs are extended out in front of you with knees bent and your back is flat on the middle of the ball.
_x000D_
4.) Raise the handle above your chest as this will be your starting position.
_x000D_
5.) Slowly lower the handle down to your side, feeling a stretch in your chest and hold for a count.
_x000D_
6.) Return back up to the starting position and squeeze.
_x000D_
7.) Repeat for as many reps and sets as desired.","['5148', '5149']",https://www.jefit.com/exercises/141/Calf-Raise-On-A-Dumbbell
Dumbbell Standing Calf Raise,Forearm,,,Strength,Isolation,"Bench , Dumbbell",Beginner,"Steps :
_x000D_
1.) Start off sitting on the end of a flat bench with your feet flat on the floor and holding a dumbbell in one hand using a neutral grip.
_x000D_
2.) Rest the arm holding the dumbbell on the same leg so the weight is extended off.
_x000D_
3.) Slowly lower the weight down below your leg, squeeze using your forearm and hold for a count.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['4328', '4329']",https://www.jefit.com/exercises/142/Dumbbell-Standing-Calf-Raise
Barbell Standing Calf Raise,Upper Legs,Hamstrings,"Glutes , Back",Strength,Compound,Barbell,Expert,"Steps : 
_x000D_
1.) To begin this exercise; start off with a weighted barbell rested upon your shoulders in front of your face with your arms crossed holding onto the bar.
_x000D_
2.) Bend at your knees and start to sit back with your hips as you go down for a standard squat keeping your back and chest straight out. 
_x000D_
3.) Continue on with the squat until your hamstrings and glutes are rested upon the each other and hold on for a few seconds.
_x000D_
4.) Then using the force of your heels and lower legs, straighten out and extend your hips to get back to your starting position.
_x000D_
5.) Repeat this exercise for as many repetitions as needed","['1908', '1909']",https://www.jefit.com/exercises/143/Barbell-Standing-Calf-Raise
Seated Calf Raise,Lower Legs,Calves,,Strength,Isolation,Machine,Beginner,"The seated calf raise exercise is one of the simplest and most effective calf workouts.
_x000D_
Steps :
_x000D_
1.) Start off sitting at a calf raise machine, putting the balls of your feet on the footpad and your thighs under the leg pad above your knees as this will be your starting position..
_x000D_
2.) Unlock the bar and slowly raise your toes up as high as possible, feeling a stretch in your calf muscles.
_x000D_
3.) Once you reach the top position, hold for a count then return back to the start.
_x000D_
4.) Repeat for as many reps and sets as desired.","['576', '577']",https://www.jefit.com/exercises/144/Seated-Calf-Raise
Standing Calf Raises,Lower Legs,Calves,,Strength,Isolation,Machine,Beginner,"The standing calf raise exercise uses a machine to target the lower calf muscles and is used by beginners for proper form.
_x000D_
Steps :
_x000D_
1.) Start off standing up straight with your toes on the footpads of the machine and adjust your shoulder so that they are rested underneath the upper pads.
_x000D_
2.) Slowly raise up on the balls of your feet so that your heels are lifted off of the pad and hold this position for a count.
_x000D_
3.) Return back to the starting position and repeat for as many reps and sets as desired.","['580', '581']",https://www.jefit.com/exercises/145/Standing-Calf-Raises
Dumbbell Seated Side Lateral Raise,Shoulders,Traps,,Strength,Isolation,"Dumbbell , Bench",Beginner,"Steps : 
_x000D_
1.) To begin this exercise; start off lying sideways on an incline bench with a dumbbell in one hand and the other pushing the shoulder up against the bench.
_x000D_
2.) Keep the dumbbell rested next to your pelvis and perform a lateral raise so that the dumbbell is overhead pressed and pointing at the ceiling. 
_x000D_
3.) Hold onto this position for a few seconds.
_x000D_
4.) Return back down to the starting position.
_x000D_
5.) Repeat this exercise for as many repetitions as needed.","['1712', '1713']",https://www.jefit.com/exercises/146/Dumbbell-Seated-Side-Lateral-Raise
EZ Bar Incline Triceps Extension,Triceps,,,Strength,Isolation,"EZ Curl Bar , Bench",Intermediate,"The EZ Bar incline triceps extension exercise is a version of the triceps extension that uses gravity to increase the resistance of the exercise.
_x000D_
Steps : 
_x000D_
1.) Start off grabbing onto a barbell with a close grip (4 to 6 inches apart) and lie on an incline bench, holding the barbell over your head, as this will be your starting position.
_x000D_
2.) Slowly lower your arms in an arc until your forearms touch your biceps and you feel a stretch in your tricep muscles.
_x000D_
3.) Hold this position for a count then return back up to the starting position.
_x000D_
4.) Repeat for as many reps and sets as you desire.","['588', '589']",https://www.jefit.com/exercises/147/EZ-Bar-Incline-Triceps-Extension
Dumbbell Seated Bent Over Triceps Extension,Back,,,Strength,Isolation,"Dumbbell , Bench",Beginner,"Steps :
_x000D_
1.) Start off lying on a flat bench with a dumbbell in each hand extended out in front of you.
_x000D_
2.) Slowly pull the dumbbells up until your elbows are just above your shoulders.
_x000D_
3.) Once you reach the final position hold for a count and squeeze your muscles.
_x000D_
4.) Return back to the starting position and repeat for as many reps and sets as desired.","['5320', '5321']",https://www.jefit.com/exercises/148/Dumbbell-Seated-Bent-Over-Triceps-Extension
Triceps Pushdown V Bar,Triceps,Upper Chest,,Strength,Isolation,Machine,Beginner,"The triceps pushdown v-bar exercise uses the v-shaped bar to target the tricep muscle and build bigger arms.
_x000D_
Steps : 
_x000D_
1.) Start off standing in front of a cable machine and attaching a v-bar attachment to a high pulley.
_x000D_
2.) Grab onto the v-bar with an overhand (palms facing down) grip, keeping your abs drawn in tightly and back straight as this will be your starting position.
_x000D_
3.) Making sure that you keep your elbows in at your sides and push the bar straight down towards your thighs, until you feel a stretch in your tricep muscle.
_x000D_
4.) Hold this position for a count, isolating the tricep and then return back to the start.
_x000D_
5.) Repeat for as many reps and sets as desired.
_x000D_
Tips : 
_x000D_
1.) You are able to place one foot in front of the other for a better stance.","['596', '597']",https://www.jefit.com/exercises/149/Triceps-Pushdown-V-Bar
Cable Kneeling Triceps Extension,Triceps,,Shoulders,Strength,Isolation,"Barbell , Bench",Intermediate,"The barbell seated overhead triceps extension exercise uses a barbell to isolate the triceps.
_x000D_
Steps :
_x000D_
1.) Start off sitting on a short back chair with your feet firmly placed on the floor and your back straight.
_x000D_
2.) Grab an EZ, Curl bar or barbell with a grip about 6 inches apart.
_x000D_
3.) Raise the bar to arms length above your head and then lower the bar in an arc towards the floor behind your head.
_x000D_
4.) Hold this position for a count.
_x000D_
5.) Return to starting position and repeat for as many reps and sets as desired.","['996', '997']",https://www.jefit.com/exercises/150/Cable-Kneeling-Triceps-Extension
Barbell Triceps Extension,Upper Legs,,"Back , Shoulders",Olympic Weight Lifting,Compound,Barbell,Expert,Targeted Muscle Group,"['3612', '3613', '3614', '3615']",https://www.jefit.com/exercises/151/Barbell-Triceps-Extension
EZ Bar Decline Triceps Extension,Triceps,,,Strength,Isolation,"EZ Curl Bar , Bench",Intermediate,"The decline EZ bar triceps extension exercise combines the decline bench as well as a curved bar to easily target the tricep muscles and build bigger arms.
_x000D_
Steps :
_x000D_
1.) Start off lying face up (back flat) on a decline bench and grabbing an EZ bar with an overhand grip.
_x000D_
2.) Extend your arms up and out so that they are perpendicular with your chest, keeping your elbows tucked in at one place.
_x000D_
3.) Slowly lower the EZ bar towards your head, feeling a stretch in your tricep muscle and hold the position for a count.
_x000D_
4.) Return back up to the starting position and repeat for as many reps and sets as desired.","['608', '609']",https://www.jefit.com/exercises/152/EZ-Bar-Decline-Triceps-Extension
Barbell Lying Close Grip Triceps Press To Chin,Upper Legs,Hamstrings,,Stretching,,Body,Beginner,"Steps : 
_x000D_
1.) To begin this exercise; start off lying flat on your back with one leg extended out and with your other leg bend it and grab the knee with your hands.
_x000D_
2.) Take the leg that is being bent and extend it straight into the air and hold onto the position for up to 15 seconds and then alternate legs.
_x000D_
3.) Repeat this exercise for as many repetitions as needed","['1860', '1861']",https://www.jefit.com/exercises/153/Barbell-Lying-Close-Grip-Triceps-Press-To-Chin
